日期,證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
20260813,1732,毛寶,26.35,2.28,114,21.42,2.22,2026Q2
20260813,1733,五鼎,31.1,4.18,114,16.37,1.67,2026Q2
20260813,1734,杏輝,31.85,5.02,114,18.52,1.71,2026Q1
20260813,1735,日勝化,20.55,3.16,114,17.56,1.32,2026Q2
20260813,1736,喬山,140.5,3.2,114,12.7,3.11,2026Q2
20260813,1737,臺鹽,32.0,4.38,114,16.41,0.95,2026Q2
20260813,1752,南光,32.0,5.0,114,15.76,1.34,2026Q2
20260813,1760,寶齡富錦,59.0,3.39,114,23.51,2.7,2026Q2
20260813,1773,勝一,160.5,2.49,114,20.01,4.21,2026Q2
20260813,1776,展宇,17.3,3.47,114,35.31,1.21,2026Q1
20260813,1783,和康生,40.4,4.95,114,12.43,2.42,2026Q2
20260813,1786,科妍,51.0,3.75,114,20.9,2.08,2026Q2
20260813,1789,神隆,18.85,1.54,114,377.0,1.42,2026Q2
20260813,1795,美時,188.0,1.43,114,12.82,2.06,2026Q1
20260813,1806,冠軍,7.97,1.88,114,56.93,0.59,2026Q1
20260813,1808,潤隆,33.1,4.53,114,7.83,2.14,2026Q2
20260813,1809,中釉,40.35,0.62,114,201.75,2.3,2026Q2
20260813,1810,和成,25.05,0.8,114,6.84,0.89,2026Q2
20260813,1817,凱撒衛,39.45,5.58,114,7.86,1.24,2026Q2
20260813,1904,正隆,24.65,1.83,114,11.36,0.89,2026Q2
20260813,1907,永豐餘,29.9,3.34,114,21.36,0.63,2026Q1
20260813,2006,東和鋼鐵,85.4,5.04,114,11.34,1.83,2026Q2
20260813,2008,高興昌,31.05,3.22,114,48.52,1.44,2026Q2
20260813,2009,第一銅,39.7,1.01,114,38.54,1.63,2026Q2
20260813,2010,春源,22.7,8.81,114,9.04,1.17,2026Q2
20260813,2013,中鋼構,41.3,5.81,114,12.63,1.5,2026Q2
20260813,2015,豐興,63.6,5.19,114,14.86,1.68,2026Q2
20260813,2020,美亞,21.0,8.57,114,10.14,1.32,2026Q2
20260813,2027,大成鋼,50.4,2.98,114,9.94,1.48,2026Q2
20260813,2028,威致,15.8,1.27,114,36.74,1.07,2026Q2
