證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
2704,國賓,1.59,112,16.9,0.61,2024Q2
2706,第一店,2.33,112,23.44,0.74,2024Q2
2707,晶華,5.55,112,18.25,6.65,2024Q2
2722,夏都,1.15,112,86.7,2.61,2024Q2
2723,美食-KY,3.91,112,33.4,1.48,2024Q2
2727,王品,6.73,112,14.02,4.74,2024Q2
2731,雄獅,6.06,112,7.27,3.35,2024Q2
2748,雲品,3.25,112,19.07,2.32,2024Q2
2753,八方雲集,4.67,112,17.38,2.95,2024Q2
2762,世界健身-KY,6.4,112,29.08,3.01,2024Q2
2801,彰銀,4.87,112,14.4,1.0,2024Q2
2809,京城銀,5.34,112,8.81,1.23,2024Q2
2812,台中銀,5.2,112,11.98,1.23,2024Q2
2820,華票,4.87,112,16.85,0.83,2024Q2
2832,台產,4.61,112,8.95,0.86,2024Q2
2834,臺企銀,8.46,112,12.36,1.04,2024Q2
2836,高雄銀,5.02,112,24.9,0.88,2024Q2
2838,聯邦銀,5.81,112,13.36,0.85,2024Q2
2845,遠東銀,7.21,112,12.5,0.96,2024Q2
2849,安泰銀,2.48,112,17.79,0.9,2024Q2
2850,新產,5.32,112,8.64,1.66,2024Q2
2851,中再保,5.42,112,7.43,1.01,2024Q2
2852,第一保,4.98,112,7.77,0.81,2024Q2
2855,統一證,4.92,112,9.04,1.16,2024Q2
2880,華南金,5.04,112,15.73,1.69,2024Q2
2881,富邦金,2.74,112,12.79,1.42,2024Q2
2882,國泰金,2.96,112,12.12,1.25,2024Q2
2883,開發金,3.05,112,11.71,1.01,2024Q2
2884,玉山金,4.95,112,18.62,1.87,2024Q2
2885,元大金,4.09,112,13.74,1.36,2024Q2
2886,兆豐金,4.56,112,16.3,1.62,2024Q2
2887,台新金,5.43,112,15.33,1.14,2024Q2
2889,國票金,6.45,112,24.92,1.29,2024Q2
2890,永豐金,4.17,112,13.56,1.53,2024Q2
2891,中信金,5.2,112,10.81,1.53,2024Q2
2892,第一金,4.14,112,16.45,1.49,2024Q2
2897,王道銀行,4.38,112,11.55,0.75,2024Q2
2901,欣欣,1.3,112,61.44,2.32,2024Q2
2903,遠百,5.83,112,16.44,1.25,2024Q2
2904,匯僑,3.24,112,21.02,1.17,2024Q2
2905,三商,1.08,112,19.58,1.02,2024Q2
2906,高林,3.12,112,31.05,1.16,2024Q2
2908,特力,2.81,112,40.49,1.51,2024Q2
2910,統領,1.22,112,22.6,1.85,2024Q2
2912,統一超,3.02,112,26.85,8.48,2024Q2
2915,潤泰全,3.19,112,7.52,0.8,2024Q2
2923,鼎固-KY,0.54,112,85.81,1.29,2024Q2
2945,三商家購,2.88,112,21.67,1.54,2024Q2
3002,歐格,2.05,112,70.91,1.19,2024Q2
3003,健和興,1.67,112,24.26,2.2,2024Q2
3004,豐達科,2.67,112,13.31,2.05,2024Q2
3005,神基,4.46,112,16.26,3.15,2024Q2
3008,大立光,2.59,112,16.18,2.01,2024Q2
3010,華立,3.81,112,15.68,1.57,2024Q2
3013,晟銘電,0.28,112,66.18,7.39,2024Q2
3014,聯陽,5.63,112,14.23,3.88,2024Q2
3015,全漢,5.25,112,19.43,0.72,2024Q2
3016,嘉晶,0.82,112,63.44,3.56,2024Q2
3017,奇鋐,1.12,112,36.19,10.0,2024Q2
3019,亞光,1.57,112,31.59,2.38,2024Q2
3021,鴻名,0.98,112,25.5,1.81,2024Q2
3022,威強電,4.49,112,9.96,1.35,2024Q2
3023,信邦,3.15,112,21.99,5.38,2024Q2
3024,憶聲,0.52,112,49.1,1.84,2024Q2
3025,星通,4.9,112,18.98,5.06,2024Q2
3026,禾伸堂,5.46,112,21.63,1.61,2024Q2
3027,盛達,1.04,112,56.67,1.9,2024Q2
3028,增你強,6.28,112,18.02,1.26,2024Q2
3029,零壹,4.41,112,18.57,3.49,2024Q2
3030,德律,2.28,112,23.61,4.64,2024Q2
3031,佰鴻,3.85,112,17.33,1.22,2024Q2
3032,偉訓,5.07,112,11.27,2.52,2024Q2
3033,威健,5.42,112,15.56,1.68,2024Q2
3034,聯詠,6.27,112,14.12,5.34,2024Q2
3035,智原,1.6,112,57.51,5.45,2024Q2
3036,文曄,1.67,112,22.16,1.39,2024Q2
3037,欣興,2.01,112,23.84,2.47,2024Q2
3038,全台,6.06,112,9.71,1.5,2024Q2
3040,遠見,2.17,112,45.1,1.89,2024Q2
3042,晶技,4.13,112,16.39,2.8,2024Q2
3044,健鼎,3.75,112,13.51,2.32,2024Q2
3045,台灣大,3.69,112,27.67,4.51,2024Q2
3046,建碁,3.28,112,17.35,3.37,2024Q2
3048,益登,2.64,112,88.02,2.02,2024Q2
3050,鈺德,2.53,112,31.85,1.22,2024Q2
3051,力特,3.39,112,16.12,2.04,2024Q2
3052,夆典,4.92,112,12.45,0.74,2024Q2
3056,富華新,2.48,112,326.0,1.67,2024Q2
3059,華晶科,1.97,112,28.44,1.08,2024Q2
3090,日電貿,5.43,112,15.65,2.17,2024Q2
3094,聯傑,1.78,112,137.2,2.85,2024Q2
3130,一零四,5.97,112,16.17,5.23,2024Q2
3138,耀登,2.13,112,35.67,2.99,2024Q2
3164,景岳,2.19,112,27.87,1.48,2024Q2
3167,大量,0.36,112,292.71,5.45,2024Q2
3168,眾福科,6.34,112,18.18,2.37,2024Q2
3189,景碩,0.89,112,386.21,1.62,2024Q2
3209,全科,5.58,112,13.03,1.83,2024Q2
3231,緯創,2.5,112,18.71,2.69,2024Q2
3257,虹冠電,5.2,112,17.43,2.97,2024Q2
3266,昇陽,3.77,112,8.92,1.2,2024Q2
3305,昇貿,2.68,112,31.17,2.07,2024Q2
3311,閎暉,3.16,112,22.89,0.97,2024Q2
3312,弘憶股,1.67,112,26.2,4.09,2024Q2
3338,泰碩,2.81,112,21.19,3.27,2024Q2
3346,麗清,3.94,112,13.28,1.33,2024Q2
3356,奇偶,4.72,112,10.22,2.49,2024Q2
3376,新日興,1.97,112,31.52,2.43,2024Q2
3380,明泰,2.94,112,39.94,1.85,2024Q2
3406,玉晶光,2.43,112,11.57,2.49,2024Q2
3413,京鼎,3.1,112,16.88,2.9,2024Q2
3416,融程電,3.49,112,22.64,3.79,2024Q2
3443,創意,1.25,112,45.42,15.97,2024Q2
3454,晶睿,3.03,112,42.11,3.33,2024Q2
3501,維熹,4.2,112,13.15,1.25,2024Q2
3515,華擎,3.24,112,21.45,3.2,2024Q2
3528,安馳,2.85,112,17.74,1.89,2024Q2
3532,台勝科,3.64,112,23.03,2.2,2024Q2
3533,嘉澤,1.72,112,22.42,5.45,2024Q2
3543,州巧,4.16,112,53.44,0.79,2024Q2
3545,敦泰,1.22,112,41.79,1.85,2024Q2
3557,嘉威,4.09,112,10.79,2.3,2024Q2
3563,牧德,1.97,112,94.16,4.24,2024Q2
3583,辛耘,0.91,112,44.89,7.69,2024Q2
3588,通嘉,0.69,112,45.08,3.03,2024Q2
3591,艾笛森,2.06,112,36.74,1.18,2024Q2
3592,瑞鼎,4.41,112,13.08,2.34,2024Q2
3596,智易,4.84,112,12.45,2.18,2024Q2
3607,谷崧,3.33,112,150.36,1.44,2024Q2
3617,碩天,2.42,112,15.78,3.77,2024Q2
3622,洋華,2.76,112,14.93,1.57,2024Q2
3645,達邁,0.63,112,47.85,2.17,2024Q2
3652,精聯,0.87,112,48.1,1.66,2024Q2
3653,健策,0.75,112,66.94,14.88,2024Q2
3661,世芯-KY,1.11,112,33.38,4.72,2024Q2
3665,貿聯-KY,1.89,112,27.26,2.94,2024Q2
3669,圓展,2.72,112,22.43,1.32,2024Q2
3679,新至陞,5.66,112,12.93,1.84,2024Q2
3694,海華,2.26,112,18.04,2.15,2024Q2
3701,大眾控,1.71,112,42.6,2.05,2024Q2
3702,大聯大,4.52,112,16.77,1.66,2024Q2
3703,欣陸,4.8,112,15.32,0.92,2024Q2
3704,合勤控,4.0,112,20.16,1.44,2024Q2
3705,永信,3.67,112,15.87,2.27,2024Q2
3706,神達,2.83,112,20.4,0.91,2024Q2
3708,上緯投控,4.61,112,18.26,1.63,2024Q2
3711,日月光投控,3.27,112,21.72,2.27,2024Q2
3712,永崴投控,3.69,112,13.45,1.29,2024Q2
3715,定穎投控,1.99,112,16.2,2.91,2024Q2
4104,佳醫,4.88,112,17.64,1.59,2024Q2
4106,雃博,3.03,112,23.78,1.13,2024Q2
4119,旭富,1.39,112,77.41,2.12,2024Q2
4133,亞諾法,2.35,112,28.07,1.43,2024Q2
4137,麗豐-KY,7.03,112,15.48,2.26,2024Q2
4148,全宇生技-KY,2.15,112,30.83,1.31,2024Q2
4155,訊映,1.22,112,74.24,1.46,2024Q2
4164,承業醫,4.63,112,26.15,1.16,2024Q2
4306,炎洲,5.08,112,11.22,0.96,2024Q2
4438,廣越,4.81,112,17.94,1.46,2024Q2
4439,冠星-KY,4.39,112,19.91,1.07,2024Q2
4440,宜新實業,3.81,112,18.75,1.36,2024Q2
4532,瑞智,3.82,112,13.69,1.28,2024Q2
4536,拓凱,3.9,112,14.15,2.4,2024Q2
4545,銘鈺,1.79,112,25.53,2.22,2024Q2
4551,智伸科,1.93,112,26.32,1.82,2024Q2
4552,力達-KY,4.1,112,10.33,0.51,2024Q2
4557,永新-KY,4.78,112,14.05,2.54,2024Q2
4560,強信-KY,3.12,112,27.2,1.24,2024Q2
4566,時碩工業,1.55,112,26.55,2.05,2024Q2
4569,六方科-KY,1.7,112,46.73,3.14,2024Q2
4571,鈞興-KY,1.78,112,23.74,3.37,2024Q2
4572,駐龍,3.14,112,22.52,3.35,2024Q2
4576,大銀微系統,0.1,112,563.89,3.22,2024Q2
4581,光隆精密-KY,6.34,112,10.88,1.82,2024Q2
4583,台灣精銳,1.41,112,52.45,5.84,2024Q2
4588,玖鼎電力,3.31,112,25.99,4.73,2024Q2
