資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比,財報年/季
1140204,3529,力旺,138.21,17.49899,0.55,78.24,113Q3
1140204,3531,先益,41.59,1.7,6.49,0.87,113Q3
1140204,3537,堡達,17.36,2.5,5.14,2.26,113Q3
1140204,3546,宇峻,17.64,4.50000014,6.03,2.63,113Q3
1140204,3548,兆利,18.25,4.5,2.8,1.87,113Q3
1140204,3551,世禾,19.76,2.8,2.29,1.86,113Q3
1140204,3552,同致,35.38,3.0,3.53,1.79,113Q3
1140204,3556,禾瑞亞,85.21,0.9,2.25,2.24,113Q3
1140204,3558,神準,38.56,4.0,2.1,2.02,113Q3
1140204,3564,其陽,71.43,0.35,0.5,2.99,113Q3
1140204,3567,逸昌,14.9,2.7,8.67,1.8,113Q3
1140204,3570,大塚,14.06,8.0,4.68,3.1,113Q3
1140204,3577,泓格,36.75,1.0,1.7,2.88,113Q3
1140204,3580,友威科,15.68,2.02,2.68,2.91,113Q3
1140204,3581,博磊,1511.67,0.5,1.1,2.77,113Q3
1140204,3587,閎康,21.8,8.92658585,3.91,3.2,113Q3
1140204,3594,磐儀,68.94,0.6,1.23,2.11,113Q3
1140204,3597,映興,69.49,0.3,0.88,2.28,113Q3
1140204,3611,鼎翰,14.26,12.99793213,6.17,1.95,113Q3
1140204,3615,安可,73.14,0.7,2.73,0.78,113Q3
1140204,3624,光頡,21.15,1.2,3.1,1.36,113Q3
1140204,3628,盈正,26.31,2.0,4.63,1.17,113Q3
1140204,3646,艾恩特,17.76,1.5,5.18,2.09,113Q3
1140204,3663,鑫科,227.41,0.58697327,0.96,3.65,113Q3
1140204,3664,安瑞-KY,2630.0,0.0,0.0,5.24,113Q3
1140204,3675,德微,26.69,5.0,2.49,3.98,113Q3
1140204,3680,家登,35.73,7.50736239,1.71,4.35,113Q3
1140204,3684,榮昌,26.59,0.8,1.77,2.14,113Q3
1140204,3687,歐買尬,37.15,1.57424091,1.75,1.85,113Q3
1140204,3689,湧德,18.16,2.4458291,2.79,1.88,113Q3
1140204,3693,營邦,13.98,10.0,3.02,2.95,113Q3
1140204,3709,鑫聯大投控,18.6,0.8,2.67,1.37,113Q3
1140204,4102,永日,15.02,0.8,2.61,1.95,113Q3
1140204,4105,東洋,16.93,3.5,4.59,3.05,113Q3
1140204,4107,邦特,16.6,4.5,3.77,2.52,113Q3
1140204,4109,加捷生醫,5.18,0.5,2.43,1.49,113Q3
1140204,4111,濟生,22.92,1.0,3.49,1.33,113Q3
1140204,4113,聯上,8.81,0.0,0.0,1.34,113Q3
1140204,4114,健喬,20.33,1.6,4.77,1.99,113Q3
1140204,4116,明基醫,17.43,2.0,4.43,1.83,113Q3
1140204,4120,友華,22.09,1.0,2.06,0.81,113Q3
1140204,4126,太醫,16.36,4.8,5.16,2.39,113Q3
1140204,4127,天良,124.06,0.5,1.26,3.81,113Q3
1140204,4129,聯合,19.81,4.00266145,4.28,2.42,113Q3
1140204,4130,健亞,166.07,0.45,1.94,1.76,113Q3
1140204,4138,曜亞,16.59,7.75,8.62,2.26,113Q3
1140204,4153,鈺緯,24.24,1.25,3.39,2.09,113Q3
1140204,4157,太景*-KY,45.42,0.0,0.0,7.03,113Q3
1140204,4160,訊聯基因,30.73,1.01193677,1.5,3.12,113Q3
1140204,4161,聿新科,18.51,0.7,2.01,2.12,113Q3
1140204,4162,智擎,40.55,1.5,1.46,3.72,113Q3
1140204,4163,鐿鈦,26.57,3.5,3.18,2.15,113Q3
1140204,4167,松瑞藥,36.14,0.0851,0.41,1.89,113Q3
1140204,4173,久裕,17.73,0.91967604,4.29,0.85,113Q3
1140204,4175,杏一,121.3,1.59869966,2.44,1.98,113Q3
1140204,4183,福永生技,18.46,0.8,3.41,1.78,113Q3
1140204,4192,杏國,3505.0,0.0,0.0,3.95,113Q3
1140204,4198,欣大健康,7.1,0.0,0.0,2.91,113Q3
1140204,4205,中華食,20.58,3.0,3.5,3.84,113Q3
1140204,4207,環泰,15.67,1.0,6.08,1.21,113Q3
1140204,4303,信立,10.81,1.16441658,2.38,2.67,113Q3
1140204,4305,世坤,13.22,2.5,5.8,2.05,113Q3
1140204,4401,東隆興,33.39,0.5,2.54,0.91,113Q3
1140204,4416,三圓,950.0,1.98805698,2.62,3.03,113Q3
1140204,4417,金洲,10.61,2.0,4.72,1.22,113Q3
1140204,4420,光明,1.13,20.0,37.24,1.47,113Q3
1140204,4432,銘旺實,17.82,0.69,3.07,0.81,113Q3
1140204,4433,興采,56.22,1.0,3.63,0.87,113Q3
1140204,4442,竣邦-KY,19.56,0.8,1.64,2.39,113Q3
1140204,4502,健信,101.11,0.0,0.0,1.51,113Q3
1140204,4506,崇友,19.92,4.0,3.88,3.46,113Q3
1140204,4510,高鋒,38.51,0.7,1.75,2.3,113Q3
1140204,4527,方土霖,10.5,2.4,5.08,2.13,113Q3
1140204,4528,江興鍛,236.67,0.6,2.82,0.79,113Q3
1140204,4533,協易機,34.06,1.16479823,3.56,1.98,113Q3
1140204,4535,至興,14.09,1.6,4.81,1.01,113Q3
1140204,4538,大詠城,23.21,0.79816602,4.41,1.2,113Q3
1140204,4541,晟田,3460.0,0.0,0.0,1.49,113Q3
1140204,4543,萬在,22.49,1.5,3.95,1.27,113Q3
1140204,4549,桓達,36.64,4.2,2.53,5.15,113Q3
1140204,4550,長佳,12.19,2.1,7.12,1.23,113Q3
1140204,4554,橙的,14.35,1.0,3.47,1.49,113Q3
