,資料日期,股票代號,名稱,本益比,殖利率,股價淨值比
190,20240613,2247,汎德永業,14.49,5.56,2.22
191,20240613,2250,IKKA-KY,20.36,2.95,1.83
192,20240613,2301,光寶科,16.85,4.21,2.95
193,20240613,2302,麗正,32.19,1.69,1.74
194,20240613,2303,聯電,12.79,5.32,1.87
195,20240613,2308,台達電,28.49,1.82,4.35
196,20240613,2312,金寶,27.62,1.72,1.2
197,20240613,2313,華通,17.87,2.08,2.18
198,20240613,2316,楠梓電,8.08,1.07,0.93
199,20240613,2317,鴻海,17.6,2.81,1.79
200,20240613,2323,中環,16.92,5.51,0.73
201,20240613,2324,仁寶,19.17,3.35,1.3
202,20240613,2327,國巨,15.85,3.24,2.08
203,20240613,2328,廣宇,17.8,3.35,1.53
204,20240613,2329,華泰,19.67,2.04,3.91
205,20240613,2330,台積電,27.81,1.41,6.56
206,20240613,2331,精英,17.9,2.97,1.5
207,20240613,2332,友訊,28.25,3.03,1.2
208,20240613,2338,光罩,19.08,2.02,2.92
209,20240613,2340,台亞,86.63,1.25,2.12
210,20240613,2345,智邦,33.21,1.84,10.0
211,20240613,2347,聯強,17.94,3.6,1.97
212,20240613,2348,海悅,13.31,3.88,4.21
213,20240613,2351,順德,39.92,1.73,3.92
214,20240613,2352,佳世達,25.61,3.17,2.04
215,20240613,2353,宏碁,26.79,3.19,2.04
216,20240613,2354,鴻準,22.21,2.2,0.92
217,20240613,2355,敬鵬,17.28,2.75,1.09
218,20240613,2356,英業達,31.47,2.69,3.34
219,20240613,2357,華碩,15.69,3.49,1.39
220,20240613,2359,所羅門,54.37,1.01,5.64
221,20240613,2360,致茂,30.43,2.3,5.97
222,20240613,2362,藍天,21.26,2.88,0.76
223,20240613,2363,矽統,75.38,0.51,2.35
224,20240613,2364,倫飛,22.09,3.55,5.4
225,20240613,2365,昆盈,82.13,0.91,2.39
226,20240613,2367,燿華,75.92,0.81,2.41
227,20240613,2368,金像電,21.25,1.86,5.51
228,20240613,2373,震旦行,15.33,5.53,2.47
229,20240613,2374,佳能,31.28,1.67,2.34
230,20240613,2375,凱美,23.03,1.13,0.85
