公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
2230,泰茂,-,-29.94,42936,-2.25,30771,30078,-0.68,73520,73014
2235,謚源,-,-26.53,72863,25.53,42640,53528,14.47,110406,126391
3162,精確,本月較去年同期增加80.10%，主係新增北美客戶所致。,8.54,59720,80.1,35992,64822,44.04,86462,124542
3178,公準,-,-21.62,102844,14.46,70416,80600,-6.33,195860,183445
3226,至寶電,-,-42.1,208673,20.4,100338,120812,41.92,232157,329485
3379,彬台,本年度 2月有銷售 ASAHI LOIHEIN 充填輸送系統,33.99,23559,63.8,19272,31569,50.59,36608,55128
3426,台興,-,-36.79,60521,-36.56,60300,38252,-26.48,134365,98773
3685,元創精密,去年同期營收數與去年申報數不同，係107/04因組織重整取得共同控制下之襄陽元創公司100%股權，併入其去年1~2月營收所致。,-41.83,66630,-20.82,48951,38756,-11.45,119024,105386
4502,健信,-,-26.4,193699,-19.44,176967,142550,-18.62,413198,336249
4503,金雨,-,-6.71,31663,15.74,25520,29538,7.9,56716,61201
4506,崇友,上列為本公司自結數,-49.6,460129,15.02,201574,231864,25.85,549828,691993
4510,高鋒,-,-6.2,130154,-27.71,168874,122073,-35.47,390887,252227
4513,福裕,-,7.0,79285,-21.43,107983,84841,-28.22,228673,164126
4523,永彰,-,-28.91,79692,-19.22,70132,56651,-39.28,224566,136343
4527,方方土霖,-,-42.43,189542,-22.41,140629,109105,-15.66,354113,298647
4528,江興鍛,-,-35.0,264275,-1.74,174836,171778,-0.52,438354,436052
4530,宏易,係為本公司自結數,-16.11,1216,-81.26,5443,1020,-78.69,10495,2236
4533,協易機,-,-48.95,359071,-12.54,209581,183292,8.1,501701,542363
4534,慶騰,-,-30.51,125452,14.12,76383,87171,-17.36,257313,212623
4535,至興,-,-40.9,219157,-39.21,213062,129511,-32.79,518827,348668
4538,大詠城,-,-44.67,44677,-45.55,45402,24717,-34.1,105313,69394
4543,萬在,-,-24.64,85856,-13.49,74798,64701,-9.06,165570,150557
4549,桓達,-,-10.18,85479,30.17,58975,76773,2.55,158216,162251
4550,長佳,"舊工案屬驗收階段,新工案屬投入初期,可認列營收較低所致。",-10.73,64700,-64.46,162541,57752,-52.84,259704,122452
4558,寶緯,營收較去年同期增加，主要係因比較基期為去年營收較低的月份，以及兩期相比本期有接新訂單。,-36.58,123152,54.38,50590,78101,32.18,152255,201254
4561,健椿,-,15.82,44939,-11.11,58556,52050,-35.06,149370,96989
4563,百德,-,2.97,95615,-11.51,111271,98458,-17.93,236474,194073
4568,科際精密,-,-57.08,124583,-33.57,80483,53464,-7.64,192783,178046
4580,捷流閥業,主係因市場需求提高及專案客戶出貨所致。,-27.91,236371,75.14,97282,170388,57.83,257709,406759
6122,擎邦,-,-17.98,178872,6.01,138376,146701,2.42,317874,325573
6425,易發,因客戶擴廠計劃順利執行，故使本公司接單銷貨狀況較去年增加,92.19,122150,61.88,145019,234762,17.73,303161,356912
6603,富強鑫,-,-31.14,299095,30.53,157770,205948,9.15,462730,505095
6609,瀧澤科,-,2.87,204672,9.63,192041,210550,-12.63,475246,415222
8027,鈦昇,"淡季,訂單減少。",-31.56,102569,-51.24,143972,70191,-39.03,283391,172760
8083,瑞穎,-,-19.01,142024,27.73,90038,115012,22.16,210409,257036
8107,大億金茂,-,-13.66,82744,-7.45,77192,71437,-8.16,167897,154181
8255,朋程,-,-15.46,283525,-10.49,267779,239673,-9.57,578629,523198
9951,皇田,-,-31.59,558200,-4.56,400142,381860,-1.52,954652,940060
2061,風青,-,-43.51,103877,-12.65,67178,58677,-24.86,216447,162630
4609,唐鋒,因春節長假關係,-95.48,246191,-75.36,45127,11118,86.82,137728,257309
1742,台蠟,-,-26.64,25758,-37.96,30461,18896,-31.14,64848,44654
3430,奇鈦科,-,-37.21,162586,5.98,96311,102079,23.14,214925,264665
4702,中美實,-,-9.25,36698,5.49,31569,33303,-0.97,70690,70001
4706,大恭,-,-46.8,149289,-17.5,96266,79413,-9.65,253141,228702
4707,磐亞,-,-41.39,151979,-24.97,118702,89062,-10.85,270388,241042
4711,永純,-,-44.67,113636,-19.24,77854,62872,4.93,168207,176508
4714,永捷,-,-36.64,48979,25.95,24638,31032,3.44,77348,80011
4716,大立,-,-22.95,86416,43.67,46340,66581,7.07,142889,152997
4721,美琪瑪,-,-25.44,365842,-30.23,390983,272759,-21.48,813308,638601
4741,泓瀚,-,-26.5,54379,11.69,35782,39965,12.91,83554,94343
4754,國碳科,-,-47.87,43867,-9.34,25224,22866,23.97,53828,66733
4767,誠泰科技,-,-58.68,120176,-22.86,64371,49651,-5.95,180589,169827
4768,晶呈科技,-,-16.54,35678,-55.94,67587,29775,-40.42,109868,65453
6509,聚和,-,-46.51,345750,-21.35,235149,184938,-3.51,549998,530688
1565,精華,-,-18.79,590044,13.31,422814,479118,7.36,995860,1069162
1593,祺驊,-,-45.1,73618,14.26,35370,40416,17.8,96799,114034
1777,生泰,-,-9.0,67400,10.57,55464,61330,17.18,109854,128730
1781,合世,-,13.84,29587,25.3,26882,33684,38.22,45776,63272
1784,訊聯,-,-29.28,71929,-8.68,55702,50864,0.2,122542,122793
1788,杏昌,-,-37.62,325010,-11.66,229507,202733,7.63,490309,527743
1799,易威,-,5.02,27480,13.48,25431,28860,-20.57,70932,56340
1813,寶利徠,-,-27.54,60317,33.72,32679,43700,42.4,73044,104017
3118,進階,-,-36.44,44885,9.76,25987,28525,-5.97,78074,73410
3176,基亞,-,-47.21,47394,-19.43,31048,25015,-0.94,73102,72409
3205,佰研,-,-13.67,33177,-25.09,38235,28641,-17.16,74630,61818
3218,大學光,-,-16.23,110683,5.0,88299,92718,15.7,175796,203401
4102,永日,-,37.73,25793,40.09,25359,35527,29.19,47463,61320
4105,東洋,-,-42.47,493603,4.63,271369,283957,13.23,686687,777560
4107,邦特,-,-12.59,151209,17.31,112659,132167,16.44,243347,283376
4109,加捷生醫,-,-0.31,28359,-23.44,36927,28269,-17.31,68483,56628
4111,濟生,-,-11.98,84685,-3.99,77640,74539,0.57,158319,159224
4114,健喬,-,-54.37,293461,-12.08,152309,133896,6.44,401483,427356
4116,明基醫,-,-29.49,119523,19.04,70791,84272,32.45,153854,203795
4120,友華,-,-45.76,645337,3.34,338716,350030,13.79,874666,995367
4121,優盛,-,-26.81,277538,-10.61,227263,203128,-2.39,492467,480666
4123,晟德,合併營收減少主要係因未合併澳優乳業(股)公司營收所致。,-50.18,159383,-94.29,1391374,79396,-93.38,3609937,238779
4126,太醫,-,-44.7,209872,29.45,89650,116053,33.1,244871,325925
4127,天良,-,-44.69,49129,-32.5,40257,27171,-4.26,79699,76300
4128,中天,-,-20.28,126149,-9.29,110863,100562,-0.62,228136,226711
4129,聯合,-,-19.59,205012,24.63,132256,164843,7.38,344418,369855
4130,健亞,-,-49.59,63802,-2.75,33073,32161,6.6,90021,95963
4131,晶宇,本月增加子公司合併營收,-56.39,14054,505.53,1012,6128,744.78,2389,20182
4138,曜亞,-,-3.49,97620,1.08,93194,94209,-0.9,193590,191829
4147,中裕,請詳重大訊息說明,-40.76,38939,,0,23066,,0,62005
4153,鈺緯,-,-15.15,69716,-3.35,61202,59151,8.88,118355,128867
4160,創源,-,-30.15,35506,0.36,24708,24799,0.27,60138,60305
4161,聿新科,-,-13.44,33608,-30.87,42085,29090,-26.73,85577,62700
4162,智擎,"107Q4 Royalty US1,113,237",178.53,16124,70.55,26333,44911,96.28,31095,61035
4163,鐿鈦,-,-31.93,185086,-2.6,129342,125974,13.86,273189,311060
4167,松瑞藥,-,-16.33,92396,-5.32,81649,77299,-5.5,179583,169695
4168,醣聯,本月無認列銷貨收入。,-100.0,55,-100.0,44,0,25.0,44,55
4173,久裕,-,-4.11,92615,-31.28,129237,88805,-22.3,233515,181420
4174,浩鼎,"107/1-2為子公司圓祥授權收入7,358仟元及檢測分析收入344仟元",,0,-100.0,344,0,-100.0,7702,0
4175,杏一,-,-21.88,446386,2.29,340859,348684,11.51,713000,795070
4183,福永生技,訂單量增加,-36.35,43378,41.56,19504,27610,65.78,42819,70988
4188,安克,訂單量較去年同期成長,-8.54,4901,68.81,2655,4482,-23.91,12332,9383
4192,杏國,本公司108年2月累計營業收入與去年同期累計營收有所增加，主係因108年1月取得技術服務收入新台幣464.7萬元所致。,-94.82,5468,-45.99,524,283,411.2,1125,5751
4198,欣大健康,-,21.12,19155,0.59,23064,23202,-43.37,74807,42357
4726,永昕,本公司目前營收主要以接受客戶委託藥品開發的技術服務收入為主。此認列係以服務內容完成的進度認列收入，故變化較大。,-69.53,23479,9.2,6550,7153,178.11,11014,30632
4728,雙美,代理商調節出貨,-91.31,59953,-68.4,16489,5209,104.77,31821,65162
4735,豪展,-,-43.76,114931,7.29,60231,64627,12.15,160103,179558
4736,泰博,-,-30.02,378619,16.76,226882,264921,18.81,541640,643540
4743,合一,-,23.52,850,-41.43,1793,1050,-45.22,3469,1900
4744,皇將,-,-8.38,73030,3.17,64850,66908,12.94,123897,139938
4747,強生,-,-52.14,46106,-19.47,27399,22064,1.74,66998,68170
4911,德英,公司行銷團隊建置中,-43.98,873,48800.0,1,489,4153.12,32,1361
5312,寶島科,本月營收為2月單月歷史新高,-2.57,269101,11.35,235452,262176,15.16,461316,531277
6130,星寶國際,"係因2月適逢春節年假,故導致營收減少.",-70.87,10168,-58.64,7160,2961,-1.69,13355,13129
6242,立康,-,-23.91,38137,28.75,22535,29015,20.1,55911,67152
6446,藥華藥,本月研究收入金額較去年同期增加,5979.72,148,15685.96,57,8998,5248.53,171,9146
6461,益得,-,-65.57,2266,-37.39,1246,780,-0.84,3072,3046
6469,大樹,-,-8.44,503388,30.55,353024,460878,36.64,705656,964266
6472,保瑞,107.03起合併益邦營收,-26.89,129974,248.81,27238,95011,244.46,65314,224985
6492,生華科,係本公司勞務收入,-74.62,67,-74.62,67,17,25.37,67,84
6496,科懋,-,-51.47,165719,-35.64,124955,80418,-11.87,279302,246137
6499,益安,主要係認列大口徑心導管術後止血裝置全球智慧財產權資產讓與合約收入,-3.79,28208,1113.64,2236,27137,1019.66,4943,55345
6523,達爾膚,-,-32.2,99150,13.77,59075,67215,24.33,133807,166365
6527,明達醫,自有品牌與委託公司貼牌產品銷售狀況良好。,27.31,45832,76.85,32995,58352,50.96,69014,104184
6535,順藥,本月營收主要為生物藥技術服務收入,-11.76,3178,5865.95,47,2804,0.58,5947,5982
6547,高端疫苗,.,,0,,0,0,,0,0
