stockid,stocknm,stockle,stockkin
2231,為升,市,汽車零組件
2233,宇隆,市,汽車零組件
2236,百達-KY,市,汽車零組件
2239,英利-KY,市,汽車零組件
2241,艾姆勒,市,汽車零組件
2243,宏旭-KY,市,汽車零組件
2247,汎德永業,市,汽車
2250,IKKA-KY,市,汽車零組件
2301,光寶科,市,EMS
2302,麗正,市,LED及光元件
2303,聯電,市,IC代工
2305,全友,市,掃描器
2308,台達電,市,EMS
2312,金寶,市,EMS
2313,華通,市,PCB製造
2314,台揚,市,通訊設備
2316,楠梓電,市,PCB製造
2317,鴻海,市,EMS
2321,東訊,市,通訊設備
2323,中環,市,光碟片
2324,仁寶,市,筆記型電腦
2327,國巨,市,被動元件
2328,廣宇,市,連接元件
2329,華泰,市,IC封測
2330,台積電,市,IC代工
2331,精英,市,主機板
2332,友訊,市,網通
2337,旺宏,市,IC製造
2338,光罩,市,IC其他
2340,光磊,市,LED及光元件
2342,茂矽,市,DRAM銷售
2344,華邦電,市,IC DRAM製造
2345,智邦,市,網通
2347,聯強,市,資訊通路
2348,海悅,市,其他
2349,錸德,市,光碟片
2351,順德,市,IC其他
2352,佳世達,市,EMS
2353,宏碁,市,筆記型電腦
2354,鴻準,市,機殼
2355,敬鵬,市,PCB製造
2356,英業達,市,筆記型電腦
2357,華碩,市,筆記型電腦
2358,廷鑫,市,顯示器
2359,所羅門,市,其他
2360,致茂,市,儀器設備工程
2362,藍天,市,筆記型電腦
2363,矽統,市,IC設計
2364,倫飛,市,筆記型電腦
2365,昆盈,市,掃描器
2367,燿華,市,PCB製造
2368,金像電,市,PCB製造
2369,菱生,市,IC封測
2371,大同,市,電機
2373,震旦行,市,資訊通路
2374,佳能,市,數位相機
2375,凱美,市,被動元件
2376,技嘉,市,主機板
2377,微星,市,主機板
2379,瑞昱,市,IC設計
2380,虹光,市,掃描器
2382,廣達,市,筆記型電腦
2383,台光電,市,PCB材料設備
2385,群光,市,其他
2387,精元,市,NB與手機零組件
2388,威盛,市,IC設計
2390,云辰,市,安全監控
2392,正崴,市,連接元件
2393,億光,市,LED及光元件
2395,研華,市,工業電腦
2397,友通,市,主機板
2399,映泰,市,主機板
2401,凌陽,市,IC設計
2402,毅嘉,市,NB與手機零組件
2404,漢唐,市,儀器設備工程
2405,浩鑫,市,主機板
2406,國碩,市,太陽能
2408,南亞科,市,IC DRAM製造
2409,友達,市,LCD TFT面板
2412,中華電,市,電信服務
2413,環科,市,電源供應器
2414,精技,市,資訊通路
2415,錩新,市,其他
2417,圓剛,市,PC介面卡
2419,仲琦,市,通訊設備
2420,新巨,市,電源供應器
2421,建準,市,電源供應器
2423,固緯,市,儀器設備工程
2424,隴華,市,PC介面卡
2425,承啟,市,主機板
2426,鼎元,市,LED及光元件
2427,三商電,市,系統整合
2428,興勤,市,被動元件
2429,銘旺科,市,其他
2430,燦坤,市,資訊通路
2431,聯昌,市,變壓器與UPS
2433,互盛電,市,系統整合
2434,統懋,市,LED及光元件
2436,偉詮電,市,IC設計
2438,翔耀,市,LED及光元件
2439,美律,市,NB與手機零組件
2440,太空梭,市,連接元件
2441,超豐,市,IC封測
2442,新美齊,市,顯示器
2443,億麗,市,其他
2444,兆勁,市,網通
2449,京元電子,市,IC封測
2450,神腦,市,資訊通路
2451,創見,市,DRAM銷售
2453,凌群,市,系統整合
2454,聯發科,市,IC設計
2455,全新,市,LED及光元件
2456,奇力新,市,電子零組件業
2457,飛宏,市,變壓器與UPS
2458,義隆,市,IC設計
2459,敦吉,市,其他
2460,建通,市,連接元件
2461,光群雷,市,其他
2462,良得電,市,連接元件
2464,盟立,市,儀器設備工程
2465,麗臺,市,PC介面卡
2466,冠西電,市,LED及光元件
2467,志聖,市,PCB材料設備
2468,華經,市,系統整合
2471,資通,市,系統整合
2472,立隆電,市,被動元件
2474,可成,市,機殼
2476,鉅祥,市,連接元件
2477,美隆電,市,消費電子
2478,大毅,市,被動元件
2480,敦陽科,市,系統整合
2481,強茂,市,LED及光元件
2482,連宇,市,商業自動化
2483,百容,市,連接元件
2484,希華,市,被動元件
2485,兆赫,市,通訊設備
2486,一詮,市,LED及光元件
2488,漢平,市,消費電子
2489,瑞軒,市,顯示器
2491,吉祥全,市,光碟片
2492,華新科,市,被動元件
2493,揚博,市,PCB材料設備
2495,普安,市,其他
2496,卓越,市,其他
2497,怡利電,市,汽車零組件
2498,宏達電,市,手機製造
2501,國建,市,營建
2504,國產,市,營建
2505,國揚,市,營建
2506,太設,市,營建
2509,全坤建,市,營建
2511,太子,市,營建
2514,龍邦,市,營建
2515,中工,市,營建
2516,新建,市,營建
2520,冠德,市,營建
2524,京城,市,營建
2527,宏璟,市,營建
2528,皇普,市,營建
2530,華建,市,營建
2534,宏盛,市,營建
2535,達欣工,市,營建
2536,宏普,市,營建
2537,聯上發,市,營建
2538,基泰,市,營建
2539,櫻花建,市,營建
2540,愛山林,市,營建
2542,興富發,市,營建
2543,皇昌,市,營建
2545,皇翔,市,營建
2546,根基,市,營建
2547,日勝生,市,營建
2548,華固,市,營建
2597,潤弘,市,營建
2601,益航,市,百貨
2603,長榮,市,航運
2605,新興,市,航運
2606,裕民,市,航運
2607,榮運,市,航運
2608,嘉里大榮,市,航運
2609,陽明,市,航運
2610,華航,市,航運
2611,志信,市,航運
2612,中航,市,航運
2613,中櫃,市,航運
2614,東森,市,其他
2615,萬海,市,航運
2616,山隆,市,其他
2617,台航,市,航運
2618,長榮航,市,航運
2630,亞航,市,航運
2633,台灣高鐵,市,航運
2634,漢翔,市,航運
2636,台驊投控,市,航運
2637,慧洋-KY,市,航運
2642,宅配通,市,航運
2701,萬企,市,觀光
2702,華園,市,觀光
2704,國賓,市,觀光
2705,六福,市,觀光
2706,第一店,市,觀光
2707,晶華,市,觀光
2712,遠雄來,市,觀光
2722,夏都,市,觀光
2723,美食-KY,市,觀光
2727,王品,市,觀光
2731,雄獅,市,觀光
2739,寒舍,市,觀光
2748,雲品,市,觀光
2753,八方雲集,市,食品
2801,彰銀,市,銀行
2809,京城銀,市,銀行
2812,台中銀,市,銀行
2816,旺旺保,市,保險
2820,華票,市,銀行
2823,中壽,市,金融保險業
2832,台產,市,保險
2834,臺企銀,市,銀行
2836,高雄銀,市,銀行
2838,聯邦銀,市,銀行
2841,台開,市,營建
2845,遠東銀,市,銀行
2849,安泰銀,市,銀行
2850,新產,市,保險
2851,中再保,市,保險
2852,第一保,市,保險
2855,統一證,市,證券
2867,三商壽,市,保險
2880,華南金,市,金控
2881,富邦金,市,金控
2882,國泰金,市,金控
2883,開發金,市,金控
2884,玉山金,市,金控
2885,元大金,市,金控
2886,兆豐金,市,金控
2887,台新金,市,金控
2888,新光金,市,金控
2889,國票金,市,金控
2890,永豐金,市,金控
2891,中信金,市,金控
2892,第一金,市,金控
2897,王道銀行,市,銀行
2901,欣欣,市,百貨
2903,遠百,市,百貨
2904,匯僑,市,其他
2905,三商,市,百貨
2906,高林,市,百貨
2908,特力,市,百貨
2910,統領,市,百貨
2911,麗嬰房,市,百貨
2912,統一超,市,百貨
2913,農林,市,百貨
2915,潤泰全,市,百貨
2923,鼎固-KY,市,營建
2929,淘帝-KY,市,百貨
2936,客思達-KY,市,百貨
2939,凱羿-KY,市,百貨
3002,歐格,市,電源供應器
3003,健和興,市,連接元件
3004,豐達科,市,其他
3005,神基,市,筆記型電腦
3006,晶豪科,市,IC設計
3008,大立光,市,光學鏡片
3010,華立,市,IC通路
3011,今皓,市,連接元件
3013,晟銘電,市,機殼
3014,聯陽,市,IC設計
3015,全漢,市,電源供應器
3016,嘉晶,市,IC製造
3017,奇鋐,市,NB與手機零組件
3018,同開,市,儀器設備工程
3019,亞光,市,光學鏡片
3021,鴻名,市,連接元件
3022,威強電,市,工業電腦
3023,信邦,市,連接元件
3024,憶聲,市,顯示器
3025,星通,市,通訊設備
3026,禾伸堂,市,被動元件
3027,盛達,市,電源供應器
3028,增你強,市,IC通路
3029,零壹,市,系統整合
3030,德律,市,IC其他
3031,佰鴻,市,LED及光元件
3032,偉訓,市,機殼
3033,威健,市,IC通路
3034,聯詠,市,IC設計
3035,智原,市,IC設計
3036,文曄,市,IC通路
3037,欣興,市,PCB製造
3038,全台,市,LCD STN面板
3040,遠見,市,消費電子
3041,揚智,市,IC設計
3042,晶技,市,被動元件
3043,科風,市,變壓器與UPS
3044,健鼎,市,PCB製造
3045,台灣大,市,電信服務
3046,建碁,市,主機板
3047,訊舟,市,網通
3048,益登,市,IC通路
3049,和鑫,市,LCD零組件
3050,鈺德,市,光碟片
3051,力特,市,LCD零組件
3052,夆典,市,營建
3054,立萬利,市,其他
3055,蔚華科,市,儀器設備工程
3056,總太,市,營建
3057,喬鼎,市,其他
3058,立德,市,變壓器與UPS
3059,華晶科,市,數位相機
3060,銘異,市,其他
3062,建漢,市,網通
3090,日電貿,市,被動元件
3092,鴻碩,市,連接元件
3094,聯傑,市,IC設計
3130,一零四,市,其他
3138,耀登,市,通訊設備
3149,正達,市,LCD STN面板
3164,景岳,市,生技
3167,大量,市,電機
3189,景碩,市,PCB製造
3209,全科,市,IC通路
3229,晟鈦,市,PCB製造
3231,緯創,市,筆記型電腦
3257,虹冠電,市,IC設計
3266,昇陽,市,營建
3296,勝德,市,變壓器與UPS
3305,昇貿,市,其他
3308,聯德,市,電源供應器
3311,閎暉,市,NB與手機零組件
3312,弘憶股,市,IC通路
3321,同泰,市,PCB製造
3338,泰碩,市,連接元件
3346,麗清,市,電機
3356,奇偶,市,安全監控
3376,新日興,市,NB與手機零組件
3380,明泰,市,網通
3383,新世紀,市,LED及光元件
3406,玉晶光,市,光學鏡片
3413,京鼎,市,儀器設備工程
3416,融程電,市,LCD零組件
3419,譁裕,市,網通
3432,台端,市,連接元件
3437,榮創,市,LED及光元件
3443,創意,市,IC設計
3450,聯鈞,市,IC封測
3454,晶睿,市,安全監控
3481,群創,市,LCD TFT面板
3494,誠研,市,其他
3501,維熹,市,連接元件
3504,揚明光,市,光學鏡片
3515,華擎,市,主機板
3518,柏騰,市,NB與手機零組件
3528,安馳,市,IC通路
3530,晶相光,市,IC設計
3532,台勝科,市,太陽能
3533,嘉澤,市,連接元件
3535,晶彩科,市,儀器設備工程
3536,誠創,市,LCD零組件
3543,州巧,市,LCD TFT面板
3545,敦泰,市,IC設計
3550,聯穎,市,儀器設備工程
3557,嘉威,市,其他
3563,牧德,市,儀器設備工程
3576,聯合再生,市,太陽能
3583,辛耘,市,儀器設備工程
3588,通嘉,市,IC設計
3591,艾笛森,市,LED及光元件
3593,力銘,市,電源供應器
3596,智易,市,網通
3605,宏致,市,連接元件
3607,谷崧,市,NB與手機零組件
3617,碩天,市,變壓器與UPS
3622,洋華,市,LCD STN面板
3645,達邁,市,PCB製造
3653,健策,市,NB與手機零組件
3661,世芯-KY,市,IC設計
3665,貿聯-KY,市,連接元件
3669,圓展,市,消費電子
3673,TPK-KY,市,LCD STN面板
3679,新至陞,市,其他
3682,亞太電,市,電信服務
3686,達能,市,太陽能
3694,海華,市,網通
3701,大眾控,市,EMS
3702,大聯大,市,IC通路
3703,欣陸,市,營建
3704,合勤控,市,網通
3705,永信,市,生技
3706,神達,市,EMS
3708,上緯投控,市,化學工業
3711,日月光投控,市,IC封測
3712,永崴投控,市,光學鏡片
3714,富采,市,LED及光元件
4104,佳醫,市,生技
4106,雃博,市,生技
4108,懷特,市,生技
4119,旭富,市,生技
4133,亞諾法,市,生技
4137,麗豐-KY,市,生技
4141,龍燈-KY,市,生技
4142,國光生,市,生技
4148,全宇生技-KY,市,生技
4155,訊映,市,生技
4164,承業醫,市,生技
4190,佐登-KY,市,生技
4306,炎洲,市,塑膠
4414,如興,市,紡織纖維
4426,利勤,市,紡織纖維
4438,廣越,市,紡織纖維
4439,冠星-KY,市,紡織纖維
4526,東台,市,電機
4532,瑞智,市,電機
4536,拓凱,市,其他
4540,全球傳動,市,電機
4545,銘鈺,市,連接元件
4551,智伸科,市,汽車零組件
4552,力達-KY,市,電機
4555,氣立,市,電機
4557,永新-KY,市,汽車零組件
4560,強信-KY,市,電機
4562,穎漢,市,汽車零組件
4564,元翎,市,其他
4566,時碩工業,市,汽車零組件
4571,鈞興-KY,市,電機
4572,駐龍,市,電機
4576,大銀微系統,市,電機
4581,光隆精密-KY,市,汽車零組件
4720,德淵,市,化學工業
4722,國精化,市,塑膠
4737,華廣,市,生技
4739,康普,市,化學工業
4746,台耀,市,生技
4755,三福化,市,化學工業
4763,材料-KY,市,化學工業
4764,雙鍵,市,化學工業
4766,南寶,市,化學工業
4807,日成-KY,市,百貨
4904,遠傳,市,電信服務
4906,正文,市,網通
4912,聯德控股-KY,市,電機
4915,致伸,市,手機製造
4916,事欣科,市,工業電腦
4919,新唐,市,IC設計
4927,泰鼎-KY,市,PCB製造
4930,燦星網,市,電機
4934,太極,市,太陽能
4935,茂林-KY,市,LCD零組件
4938,和碩,市,EMS
4942,嘉彰,市,LED及光元件
4943,康控-KY,市,其他
4952,凌通,市,IC設計
4956,光鋐,市,LED及光元件
4958,臻鼎-KY,市,PCB製造
4960,誠美材,市,LCD零組件
4961,天鈺,市,IC設計
4967,十銓,市,DRAM銷售
4968,立積,市,IC設計
4976,佳凌,市,安全監控
4977,眾達-KY,市,網通
4989,榮科,市,被動元件
4994,傳奇,市,遊戲
4999,鑫禾,市,NB與手機零組件
5007,三星,市,鋼鐵
5203,訊連,市,其他
5215,科嘉-KY,市,NB與手機零組件
5225,東科-KY,市,消費電子
5234,達興材料,市,PCB材料設備
5243,乙盛-KY,市,LCD零組件
5258,虹堡,市,商業自動化
5269,祥碩,市,IC設計
5283,禾聯碩,市,電機
5284,jpp-KY,市,其他
5285,界霖,市,連接元件
5288,豐祥-KY,市,汽車零組件
5388,中磊,市,網通
5434,崇越,市,IC通路
5469,瀚宇博,市,PCB製造
5471,松翰,市,IC設計
5484,慧友,市,安全監控
5515,建國,市,營建
5519,隆大,市,營建
5521,工信,市,營建
5522,遠雄,市,營建
5525,順天,市,營建
5531,鄉林,市,營建
5533,皇鼎,市,營建
5534,長虹,市,營建
5538,東明-KY,市,鋼鐵
5546,永固-KY,市,營建
5607,遠雄港,市,航運
5608,四維航,市,航運
5706,鳳凰,市,觀光
5871,中租-KY,市,其他
5876,上海商銀,市,銀行
5880,合庫金,市,金控
5906,台南-KY,市,百貨
5907,大洋-KY,市,百貨
6005,群益證,市,證券
6024,群益期,市,證券
6108,競國,市,PCB製造
6112,聚碩,市,系統整合
6115,鎰勝,市,連接元件
6116,彩晶,市,LCD TFT面板
6117,迎廣,市,機殼
6120,達運,市,LCD零組件
6128,上福,市,其他
6133,金橋,市,連接元件
6136,富爾特,市,資訊通路
6139,亞翔,市,儀器設備工程
6141,柏承,市,PCB製造
6142,友勁,市,網通
6152,百一,市,通訊設備
6153,嘉聯益,市,PCB製造
6155,鈞寶,市,被動元件
6164,華興,市,LED及光元件
6165,浪凡,市,其他
6166,凌華,市,工業電腦
6168,宏齊,市,LED及光元件
6172,互億,市,網通
6176,瑞儀,市,LCD零組件
6177,達麗,市,營建
6183,關貿,市,其他
6184,大豐電,市,通訊設備
6189,豐藝,市,IC通路
6191,精成科,市,PCB製造
6192,巨路,市,PCB材料設備
6196,帆宣,市,儀器設備工程
6197,佳必琪,市,連接元件
6201,亞弘電,市,消費電子
6202,盛群,市,IC設計
6205,詮欣,市,連接元件
6206,飛捷,市,商業自動化
6209,今國光,市,光學鏡片
6213,聯茂,市,PCB材料設備
6214,精誠,市,系統整合
6215,和椿,市,系統整合
6216,居易,市,網通
6224,聚鼎,市,被動元件
6225,天瀚,市,數位相機
6226,光鼎,市,LED及光元件
6230,尼得科超眾,市,NB與手機零組件
6235,華孚,市,NB與手機零組件
6239,力成,市,IC封測
6243,迅杰,市,IC設計
6251,定穎,市,PCB製造
6257,矽格,市,IC封測
6269,台郡,市,PCB製造
6271,同欣電,市,IC封測
6277,宏正,市,其他
6278,台表科,市,PCB製造
6281,全國電,市,資訊通路
6282,康舒,市,電源供應器
6283,淳安,市,NB與手機零組件
6285,啟碁,市,通訊設備
6288,聯嘉,市,LED及光元件
6289,華上,市,LED及光元件
6405,悅城,市,LCD零組件
6409,旭隼,市,變壓器與UPS
6412,群電,市,電源供應器
6414,樺漢,市,工業電腦
6415,矽力-KY,市,IC設計
6416,瑞祺電通,市,網通
6426,統新,市,通訊設備
6431,光麗-KY,市,光學鏡片
6438,迅得,市,儀器設備工程
6442,光聖,市,通訊設備
6443,元晶,市,太陽能
6449,鈺邦,市,被動元件
6451,訊芯-KY,市,IC封測
6456,GIS-KY,市,LCD STN面板
6464,台數科,市,其他
6477,安集,市,太陽能
6491,晶碩,市,生技
6504,南六,市,生技
6505,台塑化,市,塑膠
6515,穎崴,市,IC封測
6525,捷敏-KY,市,IC封測
6531,愛普,市,IC設計
6533,晶心科,市,IC設計
6541,泰福-KY,市,生技
6552,易華電,市,IC封測
6558,興能高,市,NB與手機零組件
6573,虹揚-KY,市,LED及光元件
6579,研揚,市,工業電腦
6581,鋼聯,市,其他
6582,申豐,市,橡膠
6591,動力-KY,市,NB與手機零組件
6592,和潤企業,市,其他
6598,ABC-KY,市,生技
6605,帝寶,市,汽車零組件
6625,必應,市,其他
6641,基士德-KY,市,其他
6655,科定,市,其他
6666,羅麗芬-KY,市,生技
6668,中揚光,市,光學鏡片
6669,緯穎,市,EMS
6670,復盛應用,市,高爾夫球
6671,三能-KY,市,食品
6672,騰輝電子-KY,市,PCB製造
6674,鋐寶科技,市,網通
6698,旭暉應材,市,其他
6706,惠特,市,LED及光元件
6715,嘉基,市,連接元件
6743,安普新,市,消費電子
6754,匯僑設計,市,其他
6756,威鋒電子,市,IC設計
6768,志強-KY,市,其他
6776,展碁國際,市,資訊通路
6781,AES-KY,市,電源供應器
6790,永豐實,市,紙業
8011,台通,市,網通
8016,矽創,市,IC設計
8021,尖點,市,PCB材料設備
8028,昇陽半導體,市,IC代工
8033,雷虎,市,消費電子
8039,台虹,市,PCB製造
8046,南電,市,PCB製造
8070,長華*,市,儀器設備工程
8072,陞泰,市,安全監控
8081,致新,市,IC設計
8101,華冠,市,手機製造
8103,瀚荃,市,連接元件
8104,錸寶,市,LCD TFT面板
8105,凌巨,市,LCD STN面板
8110,華東,市,IC封測
8112,至上,市,IC通路
8114,振樺電,市,商業自動化
8131,福懋科,市,IC封測
8150,南茂,市,IC封測
8163,達方,市,其他
8201,無敵,市,消費電子
8210,勤誠,市,機殼
8213,志超,市,PCB製造
8215,明基材,市,LCD零組件
8222,寶一,市,其他
8249,菱光,市,數位相機
8261,富鼎,市,IC設計
8271,宇瞻,市,DRAM銷售
8341,日友,市,其他
8367,建新國際,市,航運
8374,羅昇,市,電機
8404,百和興業-KY,市,其他
8411,福貞-KY,市,其他
8422,可寧衛,市,其他
8427,基勝-KY,市,其他
8429,金麗-KY,市,百貨
8442,威宏-KY,市,其他
8443,阿瘦,市,百貨
8454,富邦媒,市,百貨
8462,柏文,市,觀光
8463,潤泰材,市,其他
8464,億豐,市,其他
8466,美吉吉-KY,市,其他
8467,波力-KY,市,其他
8473,山林水,市,其他
8478,東哥遊艇,市,其他
8480,泰昇-KY,市,其他
8481,政伸,市,其他
8482,商億-KY,市,其他
8488,吉源-KY,市,其他
8499,鼎炫-KY,市,其他
8926,台汽電,市,其他
8940,新天地,市,觀光
8996,高力,市,電機
9103,美德醫療-DR,市,其他
910322,康師傅-DR,市,食品
9105,泰金寶-DR,市,其他
910861,神州-DR,市,資訊通路
9110,越南控-DR,市,汽車零組件
911608,明輝-DR,市,其他
911622,泰聚亨-DR,市,鋼鐵
911868,同方友友-DR,市,LED及光元件
912000,晨訊科-DR,市,網通
912398,友佳-DR,市,存託憑證
9136,巨騰-DR,市,機殼
9188,精熙-DR,市,存託憑證
9802,鈺齊-KY,市,其他
9902,台火,市,其他
9904,寶成,市,其他
9905,大華,市,其他
9906,欣巴巴,市,營建
9907,統一實,市,其他
9908,大台北,市,其他
9910,豐泰,市,其他
9911,櫻花,市,其他
9912,偉聯,市,顯示器
9914,美利達,市,自行車
9917,中保科,市,其他
9918,欣天然,市,其他
9919,康那香,市,其他
9921,巨大,市,自行車
9924,福興,市,其他
9925,新保,市,其他
9926,新海,市,其他
9927,泰銘,市,鋼鐵
9928,中視,市,其他
9929,秋雨,市,其他
9930,中聯資源,市,其他
9931,欣高,市,其他
9933,中鼎,市,其他
9934,成霖,市,其他
9935,慶豐富,市,其他
9937,全國,市,其他
9938,百和,市,其他
9939,宏全,市,其他
9940,信義,市,其他
