公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
6158,禾昌,159080,164199,174043,-3.11,-8.59,572838,614307,-6.75,-
6194,育富,91235,85652,140101,6.51,-34.87,355414,497575,-28.57,-
6274,台燿,4610166,3781706,2328755,21.9,97.96,14665984,8697547,68.62,產品組合優化
6279,胡連,863002,652357,773560,32.28,11.56,2986417,3101049,-3.69,-
6538,倉和,130088,124129,161447,4.8,-19.42,440586,587105,-24.95,-
6821,聯寶,59113,44107,75433,34.02,-21.63,181181,213562,-15.16,-
8109,博大,183743,181798,152291,1.06,20.65,656907,544525,20.63,-
8147,正淩,210281,165655,175914,26.93,19.53,669965,540414,23.97,-
4953,緯軟,1241094,1213819,933521,2.24,32.94,4639980,3575188,29.78,-
6516,勤崴國際,48660,60780,45907,-19.94,5.99,228984,179730,27.4,-
6590,普鴻,60466,60749,50423,-0.46,19.91,222189,211570,5.01,-
8099,大世科,360464,500890,315165,-28.03,14.37,1525760,1223189,24.73,-
3324,雙鴻,2842339,3329237,2017328,-14.62,40.89,11391876,6431439,77.12,成長動能來自AI伺服器液冷散熱系統市佔率持續攀升。
4760,勤凱科技,228860,247746,140320,-7.62,63.09,856322,552786,54.91,本月較去年同月份出貨量增加
6146,耕興,410109,410097,374041,0.0,9.64,1601424,1494431,7.15,-
6735,美達科技,34974,43863,20085,-20.26,74.12,128651,84395,52.43,本月訂單需求增加
6739,竹陞科技,110238,100094,55061,10.13,100.21,394523,202924,94.41,因客戶產線升級需求
6877,鏵友益,24116,20401,18090,18.2,33.31,63039,146327,-56.91,累計營收減少，主要係因出貨減少所致
5508,永信建,227222,360005,159252,-36.88,42.68,967239,1068962,-9.51,-
6171,大城地產,69922,33,33,211784.84,211784.84,105473,15857,565.15,本月及本年累計營收較去年增加，主要係因本期「大城二月埕」交屋認列收入所致
2643,捷迅,609568,442443,739208,37.77,-17.53,2065726,2674393,-22.75,-
5609,中菲行,2840176,2641274,2535749,7.53,12.0,9891140,9527227,3.81,-
5704,老爺知,909,845,21385,7.57,-95.74,100207,95189,5.27,因本公司自115年3月起，暫停營業進行整修工程。
5864,致和證,1843007,-588535,-95139,413.15,2037.17,3548123,-521821,779.95,主要係營業證券評價故
5345,馥鴻,4127,2616,623,57.75,562.43,10861,2383,355.77,主係產品線成熟且結合經銷商銷售動能，導致較去年同期增加。
8421,旭源,124385,111609,96216,11.44,29.27,422644,387483,9.07,-
8942,森鉅,250438,300091,460370,-16.54,-45.6,821189,1859098,-55.82,北美市場因關稅因素，需求下降，以致營業額減少。
3293,鈊象,2123253,2193286,1850564,-3.19,14.73,8387923,7209806,16.34,-
5263,智崴,162457,159219,100318,2.03,61.94,491032,359248,36.68,因增加新訂單，本月依工程進度認列營收，致2026年4月營收較去年同期增加。
6578,達邦蛋白,36372,33976,36722,7.05,-0.95,118464,105319,12.48,胜肽蛋白系列產品客戶需求穩定；達邦專利技術益生元系列替抗新產品的國內外銷售量逐月提升；代工業務穩定成長
5432,新門,9054,18778,11001,-51.78,-17.69,50431,49145,2.61,-
8390,金益鼎,594820,534838,451048,11.21,31.87,2247770,1556686,44.39,-
6690,安�硌穈T,211706,257435,185108,-17.76,14.36,836513,701436,19.25,-
6910,德鴻,33162,37805,30623,-12.28,8.29,114775,101257,13.35,-
8924,大田,402364,392545,309362,2.5,30.06,1413588,1185084,19.28,-
全部國內上櫃公司合計,全部國內上櫃公司合計,66520928,62140093,43872991,7.04,51.62,234200445,164205089,42.62,
