公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
6482,弘煜科,本月及本年增加50%以上，主要係產品推出表現亮眼。,522.37,4951,388.25,6311,30814,388.25,6311,30814
6542,隆中,無,-1.49,61994,-29.7,86866,61065,-29.7,86866,61065
6596,寬宏藝術,-,-80.02,323756,-6.48,69142,64658,-6.48,69142,64658
8446,華研,-,-9.69,101312,-20.94,115728,91489,-20.94,115728,91489
8450,霹靂,-,7.3,37737,-18.46,49666,40495,-18.46,49666,40495
8923,時報,-,-19.08,38117,-19.23,38188,30842,-19.23,38188,30842
9949,琉園,-,20.76,17318,17.05,17867,20914,17.05,17867,20914
1240,茂生農經,-,-5.27,231481,15.74,189448,219268,15.74,189448,219268
4171,瑞基,-,-36.66,103668,24.9,52570,65663,24.9,52570,65663
6508,惠光,-,52.15,109846,4.18,160423,167137,4.18,160423,167137
6578,達邦蛋白,訂單增加營收亦增加。,10.26,60268,229.08,20193,66453,229.08,20193,66453
3085,新零售,營收大幅減少主因大環境不佳，故目前已停採全力去化庫存。另已著手規劃潮牌服飾品牌，未來將以潮牌帶舊牌方式重新提升市場認同度,50.53,1779,-84.43,17210,2678,-84.43,17210,2678
3687,歐買尬,-,11.76,107189,30.94,91494,119803,30.94,91494,119803
5278,尚凡,-,-7.02,121386,46.07,77263,112861,46.07,77263,112861
5287,數字,-,-2.76,135071,12.09,117162,131334,12.09,117162,131334
5321,美而快,-,13.89,203718,49.64,155055,232028,49.64,155055,232028
6763,綠界科技,-,15.34,94450,42.59,76397,108939,42.59,76397,108939
8044,網家,-,-0.38,4171301,14.8,3619489,4155260,14.8,3619489,4155260
8472,夠麻吉,-,-3.62,36710,20.62,29328,35378,20.62,29328,35378
8477,創業家,-,-5.17,397403,-1.74,383527,376853,-1.74,383527,376853
全部國內上櫃公司合計,全部國內上櫃公司合計,,-7.64,220732075,27.1,160384441,203849420,27.1,160384441,203849420
